,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
185,swap space,space used,running concurrently,enough memory,certain amount,temporarily hold,hold,ram,programs,linux,happens,executing,,,,,,,,,,,,,,,,,,,,,,,
186,linux operating system,used mainly,main memory,boot loader,linux,operations,load,lilo,begin,,,,,,,,,,,,,,,,,,,,,,,,,,
187,open source,advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,default account every time,maintain user accounts,assigning different permissions,systems administrator account,root account,install linux,full control,account,system,like,create,allows,,,,,,,,,,,,,,,,,,,,,,,
189,graphical user interface,graphical elements makes,users click,type commands,make use,use,well,way,system,remember,manipulate,interact,instead,images,icons,gui,easier,computer,communicating,colors,attraction,adding,,,,,,,,,,,,,
190,remember commands including attributes,cli offers greater flexibility,type declarative commands,using gui find,command line interface,interface allows,perform operations,already accustomed,cli,users,user,short,instruct,however,difficult,computer,come,,,,,,,,,,,,,,,,,,
191,symbolic links act similarly,links point,instant access,go directly,entire pathname,also allows,without,windows,shortcuts,programs,files,directories,,,,,,,,,,,,,,,,,,,,,,,
192,filename could well exceed 255 characters,255 characters,path name,entire pathname,filename,therefore,maximum,limit,include,,,,,,,,,,,,,,,,,,,,,,,,,,
193,print working directory command,pwd command,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,provide several functions,base operating system,main task,service request,service,waits,time,services,requests,may,listen,done,disconnected,daemons,available,act,,,,,,,,,,,,,,,,,,,
195,another common term,global shell variables,global settings,environmental variables,linux programs,shell,well,function,control,,,,,,,,,,,,,,,,,,,,,,,,,,
196,directing data,one output,another process,process,output,another,used,redirection,input,direct,also,,,,,,,,,,,,,,,,,,,,,,,,
197,kill command followed,use kill 0,unique process id,every process,use,process,terminate,system,pid,identified,,,,,,,,,,,,,,,,,,,,,,,,,
198,portable operating system,different hardware platforms,user functions,portability allows,lets users,efficient multi,multi,written,tasking,shell,run,processing,designed,control,c,,,,,,,,,,,,,,,,,,,,
199,standard output,take input,standard input,term filter,often used,input,used,filter,write,two,results,refer,programs,program,pipeline,perform,operation,also,,,,,,,,,,,,,,,,,
200,unix operating system,performing different tasks,different users,master program,interactive program,deal directly,user,starts,shell,separate,resources,logs,kernel,instead,however,controls,computer,called,allotting,,,,,,,,,,,,,,,,
201,single user,one task,one person,multiuser means,multitask means,computer work,computer,use,time,program,even,,,,,,,,,,,,,,,,,,,,,,,,
